AccX (g),AccY (g),AccZ (g),GyroX (deg/s),GyroY (deg/s),GyroZ (deg/s),Heel ADC0,MidFoot ADC1,Toe ADC2,LABEL
-979.35257630322,119.87905610653942,-5.300681100986486,256185.857291875,275042.3306502078,327177.0525772496,167,2081,1519,1
-980.6778902918564,116.70086144824715,-7.176668108289825,255967.4404787058,274682.9477535047,327118.8037737141,206,2056,1526,1
-982.3018419428817,113.20930452539602,-8.796529080304115,255757.19793106307,274377.742506048,326945.62876747263,141,2059,1514,1
-984.225711601219,109.42229941864736,-10.16571279931775,255564.20727995943,274119.0203565792,326661.46281384164,143,2061,1521,1
-986.4493039364834,105.3604914316579,-11.293835017044715,255397.23682511042,273898.96574870474,326268.7334927336,196,2037,1533,1
-988.9703886134299,101.05099788612367,-12.193862040291753,255264.39914583782,273709.39006431436,325768.66966581054,127,2041,1555,1
-991.7831934130727,96.53384440028547,-12.885549230803438,255172.1484078984,273542.0010230017,325162.2874550385,139,2054,1561,1
-994.8775435421072,91.86694006452878,-13.39880714912529,255124.33448827695,273389.1521820247,324451.61661919195,96,2031,1574,1
-998.2404155937011,87.12552603093728,-13.771943707217574,255121.9072239811,273244.89054445125,323640.48641833756,101,2019,1588,1
-1001.8593325152013,82.39587097371776,-14.045619516394025,255163.13318621507,273106.08847848495,322734.6331426194,27,2007,1606,1
-1005.7272003872744,77.76533996039029,-14.254998925620733,255243.93959826828,272973.21550284023,321741.30933714705,15,1995,1616,1
-1009.8490978895591,73.31116211070436,-14.421668592497829,255358.2620187815,272850.4204193632,320668.61306243215,65,1971,1663,1
-1014.2487701649371,69.09200284662518,-14.548195207533317,255498.47441961488,272745.04739633435,319524.6626746648,14,1975,1699,1
-1018.9709429581683,65.14584597525422,-14.618089518923682,255656.0683525208,272666.60464425606,318316.569520735,31,1975,1704,1
-1024.0785011907296,61.49382519354344,-14.600694166144594,255822.63008976248,272625.18608231714,317049.2078562036,5,1927,1778,1
-1029.646838711028,58.14723866760168,-14.457892458100579,255990.76740324302,272629.9785292138,315724.2452172225,21,1927,1816,1
-1035.7578965705798,55.11499699513147,-14.150729548384064,256154.65593236784,272688.4772587959,314339.88074334426,8,1846,1866,1
-1042.4947578826755,52.409774360940766,-13.646047174723071,256310.26431159477,272806.32463335985,312891.1592027978,10,1848,1904,1
-1049.9374382725377,50.051320769128026,-12.921707146172677,256455.36635341344,272987.48719035706,311370.53163562994,4,1805,1936,1
-1058.160617654367,48.06630307544043,-11.968268139860148,256589.3374004929,273234.7217068411,309768.52256660827,3,1833,1934,1
-1067.2328680427609,46.48608966895993,-10.787602315428604,256712.7822014916,273550.2944545958,308074.4690535945,6,1793,1974,1
-1077.216397593375,45.34470902125936,-9.390462025024194,256827.16995260678,273936.66434644966,306277.2246021213,8,1772,2018,1
